Date,County,ED Visit Count,Hospitalization Count
4/14/2020,Crawford,1,0
4/15/2020,Crawford,0,0
4/16/2020,Crawford,0,0
4/17/2020,Crawford,0,0
4/18/2020,Crawford,0,0
4/19/2020,Crawford,0,0
4/20/2020,Crawford,0,0
4/21/2020,Crawford,0,0
4/22/2020,Crawford,0,0
4/23/2020,Crawford,0,0
4/24/2020,Crawford,0,0
4/25/2020,Crawford,0,0
4/26/2020,Crawford,0,0
4/27/2020,Crawford,0,0
4/28/2020,Crawford,0,0
4/29/2020,Crawford,0,0
4/30/2020,Crawford,0,0
5/1/2020,Crawford,0,0
5/2/2020,Crawford,0,0
5/3/2020,Crawford,0,0
5/4/2020,Crawford,0,0
5/5/2020,Crawford,0,0
5/6/2020,Crawford,0,0
5/7/2020,Crawford,0,0
5/8/2020,Crawford,0,0
5/9/2020,Crawford,0,0
5/10/2020,Crawford,0,0
5/11/2020,Crawford,0,0
5/12/2020,Crawford,0,0
5/13/2020,Crawford,0,0
5/14/2020,Crawford,0,0
5/15/2020,Crawford,0,0
5/16/2020,Crawford,1,0
5/17/2020,Crawford,0,0
5/18/2020,Crawford,0,0
5/19/2020,Crawford,0,0
5/20/2020,Crawford,0,0
5/21/2020,Crawford,0,0
5/22/2020,Crawford,0,0
5/23/2020,Crawford,0,0
5/24/2020,Crawford,0,0
5/25/2020,Crawford,0,0
5/26/2020,Crawford,0,0
5/27/2020,Crawford,0,0
5/28/2020,Crawford,0,0
5/29/2020,Crawford,0,0
5/30/2020,Crawford,0,0
5/31/2020,Crawford,0,0
6/1/2020,Crawford,0,0
6/2/2020,Crawford,0,0
6/3/2020,Crawford,0,0
6/4/2020,Crawford,0,0
6/5/2020,Crawford,0,0
6/6/2020,Crawford,0,0
6/7/2020,Crawford,0,0
6/8/2020,Crawford,0,0
6/9/2020,Crawford,0,0
6/10/2020,Crawford,0,0
6/11/2020,Crawford,0,0
6/12/2020,Crawford,0,0
6/13/2020,Crawford,0,0
6/14/2020,Crawford,0,0
6/15/2020,Crawford,0,0
6/16/2020,Crawford,0,0
6/17/2020,Crawford,0,0
6/18/2020,Crawford,0,0
6/19/2020,Crawford,0,0
6/20/2020,Crawford,0,0
6/21/2020,Crawford,0,0
6/22/2020,Crawford,0,0
6/23/2020,Crawford,0,0
6/24/2020,Crawford,0,0
6/25/2020,Crawford,0,0
6/26/2020,Crawford,0,0
6/27/2020,Crawford,0,0
6/28/2020,Crawford,0,0
6/29/2020,Crawford,0,0
6/30/2020,Crawford,0,0
7/1/2020,Crawford,0,0
7/2/2020,Crawford,0,0
7/3/2020,Crawford,0,0
7/4/2020,Crawford,0,0
7/5/2020,Crawford,0,0
7/6/2020,Crawford,0,0
7/7/2020,Crawford,0,0
7/8/2020,Crawford,0,0
7/9/2020,Crawford,0,0
7/10/2020,Crawford,0,0
7/11/2020,Crawford,0,0
7/12/2020,Crawford,0,0
7/13/2020,Crawford,0,0
7/14/2020,Crawford,0,0
7/15/2020,Crawford,0,0
7/16/2020,Crawford,1,0
7/17/2020,Crawford,0,0
7/18/2020,Crawford,0,0
7/19/2020,Crawford,0,0
7/20/2020,Crawford,0,0
7/21/2020,Crawford,0,0
7/22/2020,Crawford,0,0
7/23/2020,Crawford,0,0
7/24/2020,Crawford,0,0
7/25/2020,Crawford,0,0
7/26/2020,Crawford,0,0
7/27/2020,Crawford,0,0
7/28/2020,Crawford,0,0
7/29/2020,Crawford,0,0
7/30/2020,Crawford,0,0
7/31/2020,Crawford,0,0
8/1/2020,Crawford,0,0
8/2/2020,Crawford,0,0
8/3/2020,Crawford,0,0
8/4/2020,Crawford,0,0
8/5/2020,Crawford,0,0
8/6/2020,Crawford,0,0
8/7/2020,Crawford,0,0
8/8/2020,Crawford,0,0
8/9/2020,Crawford,0,0
8/10/2020,Crawford,0,0
8/11/2020,Crawford,2,0
8/12/2020,Crawford,0,0
8/13/2020,Crawford,0,0
8/14/2020,Crawford,0,0
8/15/2020,Crawford,0,0
8/16/2020,Crawford,0,0
8/17/2020,Crawford,0,0
8/18/2020,Crawford,1,0
8/19/2020,Crawford,0,0
8/20/2020,Crawford,0,0
8/21/2020,Crawford,0,0
8/22/2020,Crawford,0,0
8/23/2020,Crawford,0,0
8/24/2020,Crawford,0,0
8/25/2020,Crawford,0,0
8/26/2020,Crawford,0,0
8/27/2020,Crawford,0,0
8/28/2020,Crawford,0,0
8/29/2020,Crawford,0,0
8/30/2020,Crawford,0,0
8/31/2020,Crawford,0,0
9/1/2020,Crawford,0,0
9/2/2020,Crawford,0,0
9/3/2020,Crawford,0,0
9/4/2020,Crawford,1,1
9/5/2020,Crawford,0,0
9/6/2020,Crawford,0,0
9/7/2020,Crawford,1,0
9/8/2020,Crawford,1,0
9/9/2020,Crawford,2,2
9/10/2020,Crawford,0,0
9/11/2020,Crawford,0,0
9/12/2020,Crawford,0,0
9/13/2020,Crawford,0,0
9/14/2020,Crawford,0,0
9/15/2020,Crawford,1,1
9/16/2020,Crawford,0,0
9/17/2020,Crawford,1,0
9/18/2020,Crawford,1,0
9/19/2020,Crawford,0,0
9/20/2020,Crawford,1,1
9/21/2020,Crawford,1,0
9/22/2020,Crawford,0,0
9/23/2020,Crawford,0,0
9/24/2020,Crawford,0,0
9/25/2020,Crawford,0,0
9/26/2020,Crawford,1,0
9/27/2020,Crawford,0,0
9/28/2020,Crawford,0,0
9/29/2020,Crawford,0,0
9/30/2020,Crawford,1,0
10/1/2020,Crawford,0,0
10/2/2020,Crawford,0,0
10/3/2020,Crawford,0,0
10/4/2020,Crawford,0,0
10/5/2020,Crawford,0,0
10/6/2020,Crawford,0,0
10/7/2020,Crawford,0,0
10/8/2020,Crawford,0,0
10/9/2020,Crawford,0,0
10/10/2020,Crawford,0,0
10/11/2020,Crawford,0,0
10/12/2020,Crawford,0,0
10/13/2020,Crawford,1,0
10/14/2020,Crawford,1,0
10/15/2020,Crawford,0,0
10/16/2020,Crawford,0,0
10/17/2020,Crawford,0,0
10/18/2020,Crawford,1,1
10/19/2020,Crawford,0,0
10/20/2020,Crawford,0,0
10/21/2020,Crawford,0,0
10/22/2020,Crawford,0,0
10/23/2020,Crawford,0,0
10/24/2020,Crawford,0,0
10/25/2020,Crawford,0,0
10/26/2020,Crawford,0,0
10/27/2020,Crawford,0,0
10/28/2020,Crawford,0,0
10/29/2020,Crawford,0,0
10/30/2020,Crawford,0,0
10/31/2020,Crawford,1,0
11/1/2020,Crawford,1,1
11/2/2020,Crawford,0,0
11/3/2020,Crawford,0,0
11/4/2020,Crawford,0,0
11/5/2020,Crawford,0,0
11/6/2020,Crawford,2,2
11/7/2020,Crawford,1,0
11/8/2020,Crawford,0,0
11/9/2020,Crawford,2,0
11/10/2020,Crawford,1,0
11/11/2020,Crawford,0,0
11/12/2020,Crawford,1,0
11/13/2020,Crawford,1,0
11/14/2020,Crawford,5,2
11/15/2020,Crawford,0,0
11/16/2020,Crawford,0,0
11/17/2020,Crawford,1,0
11/18/2020,Crawford,0,0
11/19/2020,Crawford,2,0
11/20/2020,Crawford,1,0
11/21/2020,Crawford,0,0
11/22/2020,Crawford,0,0
11/23/2020,Crawford,0,0
11/24/2020,Crawford,0,0
11/25/2020,Crawford,0,0
11/26/2020,Crawford,1,0
11/27/2020,Crawford,0,0
11/28/2020,Crawford,1,0
11/29/2020,Crawford,0,0
11/30/2020,Crawford,1,0
12/1/2020,Crawford,0,0
12/2/2020,Crawford,0,0
12/3/2020,Crawford,0,0
12/4/2020,Crawford,0,0
12/5/2020,Crawford,0,0
12/6/2020,Crawford,0,0
3/1/2020,Daviess,1,0
3/2/2020,Daviess,0,0
3/3/2020,Daviess,1,1
3/4/2020,Daviess,0,0
3/5/2020,Daviess,1,0
3/6/2020,Daviess,0,0
3/7/2020,Daviess,0,0
3/8/2020,Daviess,0,0
3/9/2020,Daviess,0,0
3/10/2020,Daviess,0,0
3/11/2020,Daviess,0,0
3/12/2020,Daviess,0,0
3/13/2020,Daviess,3,1
3/14/2020,Daviess,0,0
3/15/2020,Daviess,1,0
3/16/2020,Daviess,0,0
3/17/2020,Daviess,0,0
3/18/2020,Daviess,2,0
3/19/2020,Daviess,0,0
3/20/2020,Daviess,0,0
3/21/2020,Daviess,0,0
3/22/2020,Daviess,0,0
3/23/2020,Daviess,0,0
3/24/2020,Daviess,1,1
3/25/2020,Daviess,0,0
3/26/2020,Daviess,0,0
3/27/2020,Daviess,0,0
3/28/2020,Daviess,0,0
3/29/2020,Daviess,0,0
3/30/2020,Daviess,0,0
3/31/2020,Daviess,0,0
4/1/2020,Daviess,0,0
4/2/2020,Daviess,1,1
4/3/2020,Daviess,0,0
4/4/2020,Daviess,1,2
4/5/2020,Daviess,2,1
4/6/2020,Daviess,0,0
4/7/2020,Daviess,1,0
4/8/2020,Daviess,0,0
4/9/2020,Daviess,0,1
4/10/2020,Daviess,1,0
4/11/2020,Daviess,0,2
4/12/2020,Daviess,1,1
4/13/2020,Daviess,2,1
4/14/2020,Daviess,0,0
4/15/2020,Daviess,0,2
4/16/2020,Daviess,1,0
4/17/2020,Daviess,0,1
4/18/2020,Daviess,0,0
4/19/2020,Daviess,1,2
4/20/2020,Daviess,0,0
4/21/2020,Daviess,1,0
4/22/2020,Daviess,0,0
4/23/2020,Daviess,0,0
4/24/2020,Daviess,1,0
4/25/2020,Daviess,2,1
4/26/2020,Daviess,0,0
4/27/2020,Daviess,0,0
4/28/2020,Daviess,1,1
4/29/2020,Daviess,0,0
4/30/2020,Daviess,0,0
5/1/2020,Daviess,0,0
5/2/2020,Daviess,0,0
5/3/2020,Daviess,0,0
5/4/2020,Daviess,0,0
5/5/2020,Daviess,0,0
5/6/2020,Daviess,1,0
5/7/2020,Daviess,0,0
5/8/2020,Daviess,1,1
5/9/2020,Daviess,1,0
5/10/2020,Daviess,1,0
5/11/2020,Daviess,2,0
5/12/2020,Daviess,1,0
5/13/2020,Daviess,2,2
5/14/2020,Daviess,1,1
5/15/2020,Daviess,0,0
5/16/2020,Daviess,0,0
5/17/2020,Daviess,0,0
5/18/2020,Daviess,0,0
5/19/2020,Daviess,1,0
5/20/2020,Daviess,0,0
5/21/2020,Daviess,0,0
5/22/2020,Daviess,0,0
5/23/2020,Daviess,0,0
5/24/2020,Daviess,0,0
5/25/2020,Daviess,2,1
5/26/2020,Daviess,1,1
5/27/2020,Daviess,0,0
5/28/2020,Daviess,0,0
5/29/2020,Daviess,3,1
5/30/2020,Daviess,0,0
5/31/2020,Daviess,1,0
6/1/2020,Daviess,0,0
6/2/2020,Daviess,0,0
6/3/2020,Daviess,0,0
6/4/2020,Daviess,0,0
6/5/2020,Daviess,3,1
6/6/2020,Daviess,0,0
6/7/2020,Daviess,2,2
6/8/2020,Daviess,0,0
6/9/2020,Daviess,0,0
6/10/2020,Daviess,2,1
6/11/2020,Daviess,0,0
6/12/2020,Daviess,3,0
6/13/2020,Daviess,1,0
6/14/2020,Daviess,2,1
6/15/2020,Daviess,0,0
6/16/2020,Daviess,0,0
6/17/2020,Daviess,0,0
6/18/2020,Daviess,0,0
6/19/2020,Daviess,1,1
6/20/2020,Daviess,1,0
6/21/2020,Daviess,0,0
6/22/2020,Daviess,2,0
6/23/2020,Daviess,0,1
6/24/2020,Daviess,2,0
6/25/2020,Daviess,0,0
6/26/2020,Daviess,1,0
6/27/2020,Daviess,2,0
6/28/2020,Daviess,1,0
6/29/2020,Daviess,0,0
6/30/2020,Daviess,0,0
7/1/2020,Daviess,1,1
7/2/2020,Daviess,0,0
7/3/2020,Daviess,0,0
7/4/2020,Daviess,1,0
7/5/2020,Daviess,0,0
7/6/2020,Daviess,1,0
7/7/2020,Daviess,0,0
7/8/2020,Daviess,1,0
7/9/2020,Daviess,0,0
7/10/2020,Daviess,1,0
7/11/2020,Daviess,0,0
7/12/2020,Daviess,1,1
7/13/2020,Daviess,3,1
7/14/2020,Daviess,0,1
7/15/2020,Daviess,1,1
7/16/2020,Daviess,0,0
7/17/2020,Daviess,0,0
7/18/2020,Daviess,1,1
7/19/2020,Daviess,0,0
7/20/2020,Daviess,2,1
7/21/2020,Daviess,2,0
7/22/2020,Daviess,0,0
7/23/2020,Daviess,3,2
7/24/2020,Daviess,2,1
7/25/2020,Daviess,1,0
7/26/2020,Daviess,1,0
7/27/2020,Daviess,2,1
7/28/2020,Daviess,2,0
7/29/2020,Daviess,1,2
7/30/2020,Daviess,2,1
7/31/2020,Daviess,0,0
8/1/2020,Daviess,0,0
8/2/2020,Daviess,3,0
8/3/2020,Daviess,2,0
8/4/2020,Daviess,3,1
8/5/2020,Daviess,2,2
8/6/2020,Daviess,2,0
8/7/2020,Daviess,2,1
8/8/2020,Daviess,0,0
8/9/2020,Daviess,1,0
8/10/2020,Daviess,3,1
8/11/2020,Daviess,2,1
8/12/2020,Daviess,3,0
8/13/2020,Daviess,2,2
8/14/2020,Daviess,1,2
8/15/2020,Daviess,1,1
8/16/2020,Daviess,3,1
8/17/2020,Daviess,6,1
8/18/2020,Daviess,1,2
8/19/2020,Daviess,2,2
8/20/2020,Daviess,2,2
8/21/2020,Daviess,0,0
8/22/2020,Daviess,2,1
8/23/2020,Daviess,1,1
8/24/2020,Daviess,2,2
8/25/2020,Daviess,2,2
8/26/2020,Daviess,1,1
8/27/2020,Daviess,4,2
8/28/2020,Daviess,4,3
8/29/2020,Daviess,1,0
8/30/2020,Daviess,1,1
8/31/2020,Daviess,2,1
9/1/2020,Daviess,0,0
9/2/2020,Daviess,2,0
9/3/2020,Daviess,0,1
9/4/2020,Daviess,1,0
9/5/2020,Daviess,2,1
9/6/2020,Daviess,1,1
9/7/2020,Daviess,1,0
9/8/2020,Daviess,1,0
9/9/2020,Daviess,1,0
9/10/2020,Daviess,1,0
9/11/2020,Daviess,0,0
9/12/2020,Daviess,2,1
9/13/2020,Daviess,0,0
9/14/2020,Daviess,0,2
9/15/2020,Daviess,0,0
9/16/2020,Daviess,1,1
9/17/2020,Daviess,1,0
9/18/2020,Daviess,1,0
9/19/2020,Daviess,2,1
9/20/2020,Daviess,2,0
9/21/2020,Daviess,2,0
9/22/2020,Daviess,1,1
9/23/2020,Daviess,1,0
9/24/2020,Daviess,2,0
9/25/2020,Daviess,1,1
9/26/2020,Daviess,1,0
9/27/2020,Daviess,1,2
9/28/2020,Daviess,1,1
9/29/2020,Daviess,0,0
9/30/2020,Daviess,0,1
10/1/2020,Daviess,0,0
10/2/2020,Daviess,1,0
10/3/2020,Daviess,1,0
10/4/2020,Daviess,2,0
10/5/2020,Daviess,0,0
10/6/2020,Daviess,1,0
10/7/2020,Daviess,0,0
10/8/2020,Daviess,3,1
10/9/2020,Daviess,1,0
10/10/2020,Daviess,2,1
10/11/2020,Daviess,1,0
10/12/2020,Daviess,1,2
10/13/2020,Daviess,1,0
10/14/2020,Daviess,3,1
10/15/2020,Daviess,0,1
10/16/2020,Daviess,1,1
10/17/2020,Daviess,0,1
10/18/2020,Daviess,0,1
10/19/2020,Daviess,1,1
10/20/2020,Daviess,3,2
10/21/2020,Daviess,7,2
10/22/2020,Daviess,3,0
10/23/2020,Daviess,1,0
10/24/2020,Daviess,0,0
10/25/2020,Daviess,2,0
10/26/2020,Daviess,2,1
10/27/2020,Daviess,3,0
10/28/2020,Daviess,1,1
10/29/2020,Daviess,1,0
10/30/2020,Daviess,2,1
10/31/2020,Daviess,3,2
11/1/2020,Daviess,0,0
11/2/2020,Daviess,1,1
11/3/2020,Daviess,2,2
11/4/2020,Daviess,2,1
11/5/2020,Daviess,3,2
11/6/2020,Daviess,1,0
11/7/2020,Daviess,2,0
11/8/2020,Daviess,3,0
11/9/2020,Daviess,3,0
11/10/2020,Daviess,3,1
11/11/2020,Daviess,1,1
11/12/2020,Daviess,0,1
11/13/2020,Daviess,2,0
11/14/2020,Daviess,1,0
11/15/2020,Daviess,0,1
11/16/2020,Daviess,0,0
11/17/2020,Daviess,2,2
11/18/2020,Daviess,3,1
11/19/2020,Daviess,0,1
11/20/2020,Daviess,2,1
11/21/2020,Daviess,1,0
11/22/2020,Daviess,3,7
11/23/2020,Daviess,2,0
11/24/2020,Daviess,3,2
11/25/2020,Daviess,1,2
11/26/2020,Daviess,0,0
11/27/2020,Daviess,3,0
11/28/2020,Daviess,3,0
11/29/2020,Daviess,5,4
11/30/2020,Daviess,2,0
12/1/2020,Daviess,1,1
12/2/2020,Daviess,1,2
12/3/2020,Daviess,0,0
12/4/2020,Daviess,1,1
12/5/2020,Daviess,2,0
12/6/2020,Daviess,1,0
3/1/2020,De Kalb,1,0
3/2/2020,De Kalb,0,0
3/3/2020,De Kalb,0,0
3/4/2020,De Kalb,0,0
3/5/2020,De Kalb,0,0
3/6/2020,De Kalb,0,0
3/7/2020,De Kalb,1,0
3/8/2020,De Kalb,2,0
3/9/2020,De Kalb,0,0
3/10/2020,De Kalb,0,0
3/11/2020,De Kalb,3,0
3/12/2020,De Kalb,1,1
3/13/2020,De Kalb,0,0
3/14/2020,De Kalb,0,0
3/15/2020,De Kalb,2,0
3/16/2020,De Kalb,1,0
3/17/2020,De Kalb,0,0
3/18/2020,De Kalb,0,0
3/19/2020,De Kalb,0,1
3/20/2020,De Kalb,2,2
3/21/2020,De Kalb,2,1
3/22/2020,De Kalb,1,0
3/23/2020,De Kalb,0,0
3/24/2020,De Kalb,0,1
3/25/2020,De Kalb,1,0
3/26/2020,De Kalb,2,0
3/27/2020,De Kalb,0,0
3/28/2020,De Kalb,0,0
3/29/2020,De Kalb,0,1
3/30/2020,De Kalb,1,0
3/31/2020,De Kalb,0,0
4/1/2020,De Kalb,0,0
4/2/2020,De Kalb,0,0
4/3/2020,De Kalb,1,0
4/4/2020,De Kalb,1,0
4/5/2020,De Kalb,0,0
4/6/2020,De Kalb,0,1
4/7/2020,De Kalb,0,0
4/8/2020,De Kalb,0,0
4/9/2020,De Kalb,0,0
4/10/2020,De Kalb,0,0
4/11/2020,De Kalb,0,0
4/12/2020,De Kalb,1,1
4/13/2020,De Kalb,0,0
4/14/2020,De Kalb,0,0
4/15/2020,De Kalb,0,0
4/16/2020,De Kalb,2,0
4/17/2020,De Kalb,0,0
4/18/2020,De Kalb,0,0
4/19/2020,De Kalb,0,0
4/20/2020,De Kalb,0,1
4/21/2020,De Kalb,0,0
4/22/2020,De Kalb,1,0
4/23/2020,De Kalb,1,1
4/24/2020,De Kalb,0,1
4/25/2020,De Kalb,0,0
4/26/2020,De Kalb,0,0
4/27/2020,De Kalb,0,0
4/28/2020,De Kalb,0,0
4/29/2020,De Kalb,1,0
4/30/2020,De Kalb,0,0
5/1/2020,De Kalb,0,0
5/2/2020,De Kalb,0,0
5/3/2020,De Kalb,0,0
5/4/2020,De Kalb,0,0
5/5/2020,De Kalb,0,0
5/6/2020,De Kalb,0,0
5/7/2020,De Kalb,0,0
5/8/2020,De Kalb,0,0
5/9/2020,De Kalb,0,0
5/10/2020,De Kalb,0,0
5/11/2020,De Kalb,1,0
5/12/2020,De Kalb,0,0
5/13/2020,De Kalb,0,0
5/14/2020,De Kalb,0,0
5/15/2020,De Kalb,0,0
5/16/2020,De Kalb,0,0
5/17/2020,De Kalb,0,0
5/18/2020,De Kalb,0,1
5/19/2020,De Kalb,0,0
5/20/2020,De Kalb,2,0
5/21/2020,De Kalb,0,0
5/22/2020,De Kalb,0,0
5/23/2020,De Kalb,1,0
5/24/2020,De Kalb,0,0
5/25/2020,De Kalb,1,0
5/26/2020,De Kalb,0,0
5/27/2020,De Kalb,0,0
5/28/2020,De Kalb,0,0
5/29/2020,De Kalb,1,0
5/30/2020,De Kalb,1,0
5/31/2020,De Kalb,0,0
6/1/2020,De Kalb,1,0
6/2/2020,De Kalb,0,0
6/3/2020,De Kalb,0,0
6/4/2020,De Kalb,1,0
6/5/2020,De Kalb,0,0
6/6/2020,De Kalb,0,2
6/7/2020,De Kalb,1,0
6/8/2020,De Kalb,0,0
6/9/2020,De Kalb,1,2
6/10/2020,De Kalb,0,1
6/11/2020,De Kalb,3,2
6/12/2020,De Kalb,0,0
6/13/2020,De Kalb,1,0
6/14/2020,De Kalb,2,0
6/15/2020,De Kalb,1,0
6/16/2020,De Kalb,0,0
6/17/2020,De Kalb,2,2
6/18/2020,De Kalb,0,1
6/19/2020,De Kalb,0,0
6/20/2020,De Kalb,0,0
6/21/2020,De Kalb,0,0
6/22/2020,De Kalb,3,1
6/23/2020,De Kalb,1,0
6/24/2020,De Kalb,3,0
6/25/2020,De Kalb,0,0
6/26/2020,De Kalb,3,1
6/27/2020,De Kalb,2,0
6/28/2020,De Kalb,0,0
6/29/2020,De Kalb,0,0
6/30/2020,De Kalb,2,2
7/1/2020,De Kalb,1,0
7/2/2020,De Kalb,0,0
7/3/2020,De Kalb,0,0
7/4/2020,De Kalb,0,0
7/5/2020,De Kalb,1,0
7/6/2020,De Kalb,1,0
7/7/2020,De Kalb,1,0
7/8/2020,De Kalb,0,0
7/9/2020,De Kalb,1,0
7/10/2020,De Kalb,1,1
7/11/2020,De Kalb,0,0
7/12/2020,De Kalb,0,0
7/13/2020,De Kalb,1,1
7/14/2020,De Kalb,2,1
7/15/2020,De Kalb,1,0
7/16/2020,De Kalb,1,0
7/17/2020,De Kalb,0,0
7/18/2020,De Kalb,1,0
7/19/2020,De Kalb,0,0
7/20/2020,De Kalb,1,1
7/21/2020,De Kalb,1,0
7/22/2020,De Kalb,0,0
7/23/2020,De Kalb,0,0
7/24/2020,De Kalb,0,1
7/25/2020,De Kalb,1,0
7/26/2020,De Kalb,2,1
7/27/2020,De Kalb,1,0
7/28/2020,De Kalb,0,0
7/29/2020,De Kalb,1,0
7/30/2020,De Kalb,0,1
7/31/2020,De Kalb,2,0
8/1/2020,De Kalb,2,1
8/2/2020,De Kalb,0,1
8/3/2020,De Kalb,0,0
8/4/2020,De Kalb,1,0
8/5/2020,De Kalb,1,0
8/6/2020,De Kalb,1,0
8/7/2020,De Kalb,0,0
8/8/2020,De Kalb,1,0
8/9/2020,De Kalb,1,0
8/10/2020,De Kalb,2,0
8/11/2020,De Kalb,0,0
8/12/2020,De Kalb,1,0
8/13/2020,De Kalb,2,1
8/14/2020,De Kalb,1,0
8/15/2020,De Kalb,1,0
8/16/2020,De Kalb,2,0
8/17/2020,De Kalb,1,1
8/18/2020,De Kalb,1,1
8/19/2020,De Kalb,2,1
8/20/2020,De Kalb,1,0
8/21/2020,De Kalb,2,0
8/22/2020,De Kalb,3,1
8/23/2020,De Kalb,2,0
8/24/2020,De Kalb,1,0
8/25/2020,De Kalb,4,0
8/26/2020,De Kalb,1,2
8/27/2020,De Kalb,1,0
8/28/2020,De Kalb,0,0
8/29/2020,De Kalb,1,0
8/30/2020,De Kalb,2,1
8/31/2020,De Kalb,0,2
9/1/2020,De Kalb,1,0
9/2/2020,De Kalb,1,0
9/3/2020,De Kalb,0,2
9/4/2020,De Kalb,2,1
9/5/2020,De Kalb,1,2
9/6/2020,De Kalb,1,1
9/7/2020,De Kalb,2,2
9/8/2020,De Kalb,3,2
9/9/2020,De Kalb,0,1
9/10/2020,De Kalb,0,0
9/11/2020,De Kalb,3,2
9/12/2020,De Kalb,0,0
9/13/2020,De Kalb,2,0
9/14/2020,De Kalb,1,0
9/15/2020,De Kalb,0,0
9/16/2020,De Kalb,2,0
9/17/2020,De Kalb,1,0
9/18/2020,De Kalb,1,0
9/19/2020,De Kalb,2,2
9/20/2020,De Kalb,1,0
9/21/2020,De Kalb,2,0
9/22/2020,De Kalb,1,0
9/23/2020,De Kalb,1,0
9/24/2020,De Kalb,1,0
9/25/2020,De Kalb,0,0
9/26/2020,De Kalb,1,1
9/27/2020,De Kalb,1,0
9/28/2020,De Kalb,1,2
9/29/2020,De Kalb,1,0
9/30/2020,De Kalb,0,0
10/1/2020,De Kalb,0,0
10/2/2020,De Kalb,0,2
10/3/2020,De Kalb,2,1
10/4/2020,De Kalb,0,1
10/5/2020,De Kalb,3,0
10/6/2020,De Kalb,3,1
10/7/2020,De Kalb,3,0
10/8/2020,De Kalb,1,1
10/9/2020,De Kalb,3,2
10/10/2020,De Kalb,1,0
10/11/2020,De Kalb,2,0
10/12/2020,De Kalb,3,0
10/13/2020,De Kalb,1,0
10/14/2020,De Kalb,2,4
10/15/2020,De Kalb,2,1
10/16/2020,De Kalb,1,1
10/17/2020,De Kalb,2,1
10/18/2020,De Kalb,0,0
10/19/2020,De Kalb,5,1
10/20/2020,De Kalb,2,3
10/21/2020,De Kalb,2,2
10/22/2020,De Kalb,2,2
10/23/2020,De Kalb,2,0
10/24/2020,De Kalb,5,3
10/25/2020,De Kalb,3,0
10/26/2020,De Kalb,4,1
10/27/2020,De Kalb,1,0
10/28/2020,De Kalb,2,3
10/29/2020,De Kalb,2,3
10/30/2020,De Kalb,3,1
10/31/2020,De Kalb,4,1
11/1/2020,De Kalb,7,1
11/2/2020,De Kalb,2,0
11/3/2020,De Kalb,2,1
11/4/2020,De Kalb,6,4
11/5/2020,De Kalb,6,1
11/6/2020,De Kalb,8,1
11/7/2020,De Kalb,7,5
11/8/2020,De Kalb,7,2
11/9/2020,De Kalb,7,3
11/10/2020,De Kalb,7,3
11/11/2020,De Kalb,3,3
11/12/2020,De Kalb,5,4
11/13/2020,De Kalb,2,4
11/14/2020,De Kalb,2,4
11/15/2020,De Kalb,5,3
11/16/2020,De Kalb,3,4
11/17/2020,De Kalb,6,4
11/18/2020,De Kalb,2,1
11/19/2020,De Kalb,4,1
11/20/2020,De Kalb,11,2
11/21/2020,De Kalb,3,3
11/22/2020,De Kalb,3,2
11/23/2020,De Kalb,5,5
11/24/2020,De Kalb,4,6
11/25/2020,De Kalb,9,1
11/26/2020,De Kalb,8,1
11/27/2020,De Kalb,9,5
11/28/2020,De Kalb,8,6
11/29/2020,De Kalb,8,3
11/30/2020,De Kalb,7,3
12/1/2020,De Kalb,8,1
12/2/2020,De Kalb,7,0
12/3/2020,De Kalb,3,4
12/4/2020,De Kalb,8,2
12/5/2020,De Kalb,2,2
12/6/2020,De Kalb,3,0
3/1/2020,Dearborn,0,0
3/2/2020,Dearborn,0,0
3/3/2020,Dearborn,0,0
3/4/2020,Dearborn,0,0
3/5/2020,Dearborn,0,0
3/6/2020,Dearborn,1,0
3/7/2020,Dearborn,0,0
3/8/2020,Dearborn,1,1
3/9/2020,Dearborn,0,0
3/10/2020,Dearborn,1,1
3/11/2020,Dearborn,0,0
3/12/2020,Dearborn,0,0
3/13/2020,Dearborn,0,0
3/14/2020,Dearborn,1,0
3/15/2020,Dearborn,1,1
3/16/2020,Dearborn,0,0
3/17/2020,Dearborn,1,0
3/18/2020,Dearborn,3,2
3/19/2020,Dearborn,0,0
3/20/2020,Dearborn,0,0
3/21/2020,Dearborn,0,0
3/22/2020,Dearborn,1,1
3/23/2020,Dearborn,1,3
3/24/2020,Dearborn,2,2
3/25/2020,Dearborn,3,2
3/26/2020,Dearborn,0,0
3/27/2020,Dearborn,0,1
3/28/2020,Dearborn,0,0
3/29/2020,Dearborn,2,1
3/30/2020,Dearborn,1,3
3/31/2020,Dearborn,0,0
4/1/2020,Dearborn,0,2
4/2/2020,Dearborn,2,1
4/3/2020,Dearborn,0,0
4/4/2020,Dearborn,1,0
4/5/2020,Dearborn,0,0
4/6/2020,Dearborn,2,2
4/7/2020,Dearborn,1,0
4/8/2020,Dearborn,1,0
4/9/2020,Dearborn,0,0
4/10/2020,Dearborn,0,0
4/11/2020,Dearborn,0,0
4/12/2020,Dearborn,0,0
4/13/2020,Dearborn,2,1
4/14/2020,Dearborn,0,0
4/15/2020,Dearborn,0,0
4/16/2020,Dearborn,0,0
4/17/2020,Dearborn,1,0
4/18/2020,Dearborn,1,1
4/19/2020,Dearborn,1,1
4/20/2020,Dearborn,0,1
4/21/2020,Dearborn,2,3
4/22/2020,Dearborn,0,0
